League;Date;Get;Pay;Value;Confidence
Delve;2018-10-06;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-07;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-08;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-09;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-10;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-11;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-10-12;Blacksmith's Whetstone;Chaos Orb;0.03442;High
Delve;2018-10-13;Blacksmith's Whetstone;Chaos Orb;0.03539;High
Delve;2018-10-14;Blacksmith's Whetstone;Chaos Orb;0.03518;High
Delve;2018-10-15;Blacksmith's Whetstone;Chaos Orb;0.03243;High
Delve;2018-10-16;Blacksmith's Whetstone;Chaos Orb;0.03538;High
Delve;2018-10-17;Blacksmith's Whetstone;Chaos Orb;0.03523;High
Delve;2018-10-18;Blacksmith's Whetstone;Chaos Orb;0.03562;High
Delve;2018-10-19;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-10-20;Blacksmith's Whetstone;Chaos Orb;0.03549;High
Delve;2018-10-21;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-10-22;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-10-23;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-10-24;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-10-25;Blacksmith's Whetstone;Chaos Orb;0.03566;High
Delve;2018-10-26;Blacksmith's Whetstone;Chaos Orb;0.03772;High
Delve;2018-10-27;Blacksmith's Whetstone;Chaos Orb;0.03791;High
Delve;2018-10-28;Blacksmith's Whetstone;Chaos Orb;0.03704;High
Delve;2018-10-29;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-10-30;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-10-31;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-11-01;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-11-02;Blacksmith's Whetstone;Chaos Orb;0.03588;High
Delve;2018-11-03;Blacksmith's Whetstone;Chaos Orb;0.03672;High
Delve;2018-11-04;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-11-05;Blacksmith's Whetstone;Chaos Orb;0.03548;High
Delve;2018-11-06;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-11-07;Blacksmith's Whetstone;Chaos Orb;0.04099;High
Delve;2018-11-08;Blacksmith's Whetstone;Chaos Orb;0.04165;High
Delve;2018-11-09;Blacksmith's Whetstone;Chaos Orb;0.04167;High
Delve;2018-11-10;Blacksmith's Whetstone;Chaos Orb;0.04167;High
Delve;2018-11-11;Blacksmith's Whetstone;Chaos Orb;0.04096;High
Delve;2018-11-12;Blacksmith's Whetstone;Chaos Orb;0.04176;High
Delve;2018-11-13;Blacksmith's Whetstone;Chaos Orb;0.04167;High
Delve;2018-11-14;Blacksmith's Whetstone;Chaos Orb;0.04167;High
Delve;2018-11-15;Blacksmith's Whetstone;Chaos Orb;0.03846;High
Delve;2018-11-16;Blacksmith's Whetstone;Chaos Orb;0.03846;High
Delve;2018-11-17;Blacksmith's Whetstone;Chaos Orb;0.03846;High
Delve;2018-11-18;Blacksmith's Whetstone;Chaos Orb;0.04125;High
Delve;2018-11-19;Blacksmith's Whetstone;Chaos Orb;0.04223;High
Delve;2018-11-20;Blacksmith's Whetstone;Chaos Orb;0.03924;High
Delve;2018-11-21;Blacksmith's Whetstone;Chaos Orb;0.03924;High
Delve;2018-11-22;Blacksmith's Whetstone;Chaos Orb;0.04454;High
Delve;2018-11-23;Blacksmith's Whetstone;Chaos Orb;0.04253;High
Delve;2018-11-24;Blacksmith's Whetstone;Chaos Orb;0.04545;High
Delve;2018-11-25;Blacksmith's Whetstone;Chaos Orb;0.0376;High
Delve;2018-11-26;Blacksmith's Whetstone;Chaos Orb;0.03571;High
Delve;2018-11-27;Blacksmith's Whetstone;Chaos Orb;0.03614;High
Delve;2018-11-28;Blacksmith's Whetstone;Chaos Orb;0.03663;High
Delve;2018-11-29;Blacksmith's Whetstone;Chaos Orb;0.03474;High
Delve;2018-11-30;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-12-01;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-12-02;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-12-03;Blacksmith's Whetstone;Chaos Orb;0.03333;High
Delve;2018-08-31;Silver Coin;Chaos Orb;0.47552;High
Delve;2018-09-01;Silver Coin;Chaos Orb;0.18232;High
Delve;2018-09-02;Silver Coin;Chaos Orb;0.19231;High
Delve;2018-09-03;Silver Coin;Chaos Orb;0.22426;High
Delve;2018-09-04;Silver Coin;Chaos Orb;0.22727;High
Delve;2018-09-05;Silver Coin;Chaos Orb;0.21739;High
Delve;2018-09-06;Silver Coin;Chaos Orb;0.21277;High
Delve;2018-09-07;Silver Coin;Chaos Orb;0.20833;High
Delve;2018-09-08;Silver Coin;Chaos Orb;0.21166;High
Delve;2018-09-09;Silver Coin;Chaos Orb;0.21134;High
Delve;2018-09-10;Silver Coin;Chaos Orb;0.20833;High
Delve;2018-09-11;Silver Coin;Chaos Orb;0.21277;High
Delve;2018-09-12;Silver Coin;Chaos Orb;0.2185;High
Delve;2018-09-13;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-14;Silver Coin;Chaos Orb;0.22727;High
Delve;2018-09-15;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-16;Silver Coin;Chaos Orb;0.22727;High
Delve;2018-09-17;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-18;Silver Coin;Chaos Orb;0.21739;High
Delve;2018-09-19;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-20;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-21;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-22;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-23;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-24;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-25;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-26;Silver Coin;Chaos Orb;0.22193;High
Delve;2018-09-27;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-28;Silver Coin;Chaos Orb;0.21739;High
Delve;2018-09-29;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-09-30;Silver Coin;Chaos Orb;0.2381;High
Delve;2018-10-01;Silver Coin;Chaos Orb;0.23256;High
Delve;2018-10-02;Silver Coin;Chaos Orb;0.23256;High
Delve;2018-10-03;Silver Coin;Chaos Orb;0.23256;High
Delve;2018-10-04;Silver Coin;Chaos Orb;0.23256;High
Delve;2018-10-05;Silver Coin;Chaos Orb;0.23333;High
Delve;2018-10-06;Silver Coin;Chaos Orb;0.2377;High
Delve;2018-10-07;Silver Coin;Chaos Orb;0.23971;High
Delve;2018-10-08;Silver Coin;Chaos Orb;0.24783;High
Delve;2018-10-09;Silver Coin;Chaos Orb;0.24685;High
Delve;2018-10-10;Silver Coin;Chaos Orb;0.25;High
Delve;2018-10-11;Silver Coin;Chaos Orb;0.27027;High
Delve;2018-10-12;Silver Coin;Chaos Orb;0.27019;High
Delve;2018-10-13;Silver Coin;Chaos Orb;0.26316;High
Delve;2018-10-14;Silver Coin;Chaos Orb;0.2559;High
Delve;2018-10-15;Silver Coin;Chaos Orb;0.25;High
Delve;2018-10-16;Silver Coin;Chaos Orb;0.2439;High
Delve;2018-10-17;Silver Coin;Chaos Orb;0.2381;High
Delve;2018-10-18;Silver Coin;Chaos Orb;0.23409;High
Delve;2018-10-19;Silver Coin;Chaos Orb;0.22727;High
Delve;2018-10-20;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-10-21;Silver Coin;Chaos Orb;0.21739;High
Delve;2018-10-22;Silver Coin;Chaos Orb;0.21011;High
Delve;2018-10-23;Silver Coin;Chaos Orb;0.20833;High
Delve;2018-10-24;Silver Coin;Chaos Orb;0.20833;High
Delve;2018-10-25;Silver Coin;Chaos Orb;0.2;High
Delve;2018-10-26;Silver Coin;Chaos Orb;0.2069;High
Delve;2018-10-27;Silver Coin;Chaos Orb;0.2;High
Delve;2018-10-28;Silver Coin;Chaos Orb;0.2;High
Delve;2018-10-29;Silver Coin;Chaos Orb;0.19606;High
Delve;2018-10-30;Silver Coin;Chaos Orb;0.19117;High
Delve;2018-10-31;Silver Coin;Chaos Orb;0.19107;High
Delve;2018-11-01;Silver Coin;Chaos Orb;0.19085;High
Delve;2018-11-02;Silver Coin;Chaos Orb;0.18679;High
Delve;2018-11-03;Silver Coin;Chaos Orb;0.18529;High
Delve;2018-11-04;Silver Coin;Chaos Orb;0.18362;High
Delve;2018-11-05;Silver Coin;Chaos Orb;0.18918;High
Delve;2018-11-06;Silver Coin;Chaos Orb;0.19293;High
Delve;2018-11-07;Silver Coin;Chaos Orb;0.19333;High
Delve;2018-11-08;Silver Coin;Chaos Orb;0.20636;High
Delve;2018-11-09;Silver Coin;Chaos Orb;0.2;High
Delve;2018-11-10;Silver Coin;Chaos Orb;0.2;High
Delve;2018-11-11;Silver Coin;Chaos Orb;0.2067;High
Delve;2018-11-12;Silver Coin;Chaos Orb;0.20408;High
Delve;2018-11-13;Silver Coin;Chaos Orb;0.2;High
Delve;2018-11-14;Silver Coin;Chaos Orb;0.20833;High
Delve;2018-11-15;Silver Coin;Chaos Orb;0.20852;High
Delve;2018-11-16;Silver Coin;Chaos Orb;0.20833;High
Delve;2018-11-17;Silver Coin;Chaos Orb;0.20833;High
Delve;2018-11-18;Silver Coin;Chaos Orb;0.20833;High
Delve;2018-11-19;Silver Coin;Chaos Orb;0.20784;High
Delve;2018-11-20;Silver Coin;Chaos Orb;0.21148;High
Delve;2018-11-21;Silver Coin;Chaos Orb;0.2123;High
Delve;2018-11-22;Silver Coin;Chaos Orb;0.21244;High
Delve;2018-11-23;Silver Coin;Chaos Orb;0.2;High
Delve;2018-11-24;Silver Coin;Chaos Orb;0.2;High
Delve;2018-11-25;Silver Coin;Chaos Orb;0.20556;High
Delve;2018-11-26;Silver Coin;Chaos Orb;0.21429;High
Delve;2018-11-27;Silver Coin;Chaos Orb;0.22587;High
Delve;2018-11-28;Silver Coin;Chaos Orb;0.22287;High
Delve;2018-11-29;Silver Coin;Chaos Orb;0.22222;High
Delve;2018-11-30;Silver Coin;Chaos Orb;0.21429;High
Delve;2018-12-01;Silver Coin;Chaos Orb;0.21429;High
Delve;2018-12-02;Silver Coin;Chaos Orb;0.20687;High
Delve;2018-12-03;Silver Coin;Chaos Orb;0.2;High
Delve;2018-08-31;Glassblower's Bauble;Chaos Orb;1;High
Delve;2018-09-01;Glassblower's Bauble;Chaos Orb;0.4;High
Delve;2018-09-02;Glassblower's Bauble;Chaos Orb;0.4;High
Delve;2018-09-03;Glassblower's Bauble;Chaos Orb;0.4;High
Delve;2018-09-04;Glassblower's Bauble;Chaos Orb;0.35719;High
Delve;2018-09-05;Glassblower's Bauble;Chaos Orb;0.3226;High
Delve;2018-09-06;Glassblower's Bauble;Chaos Orb;0.25;High
Delve;2018-09-07;Glassblower's Bauble;Chaos Orb;0.25;High
Delve;2018-09-08;Glassblower's Bauble;Chaos Orb;0.25965;High
Delve;2018-09-09;Glassblower's Bauble;Chaos Orb;0.25;High
Delve;2018-09-10;Glassblower's Bauble;Chaos Orb;0.32288;High
Delve;2018-09-11;Glassblower's Bauble;Chaos Orb;0.25;High
Delve;2018-09-12;Glassblower's Bauble;Chaos Orb;0.25;High
Delve;2018-09-13;Glassblower's Bauble;Chaos Orb;0.25;High
Delve;2018-09-14;Glassblower's Bauble;Chaos Orb;0.24317;High
Delve;2018-09-15;Glassblower's Bauble;Chaos Orb;0.24;High
Delve;2018-09-16;Glassblower's Bauble;Chaos Orb;0.23796;High
Delve;2018-09-17;Glassblower's Bauble;Chaos Orb;0.22705;High
Delve;2018-09-18;Glassblower's Bauble;Chaos Orb;0.2;High
Delve;2018-09-19;Glassblower's Bauble;Chaos Orb;0.2;High
Delve;2018-09-20;Glassblower's Bauble;Chaos Orb;0.2;High
Delve;2018-09-21;Glassblower's Bauble;Chaos Orb;0.19615;High
Delve;2018-09-22;Glassblower's Bauble;Chaos Orb;0.17154;High
Delve;2018-09-23;Glassblower's Bauble;Chaos Orb;0.19201;High
Delve;2018-09-24;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-09-25;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-09-26;Glassblower's Bauble;Chaos Orb;0.16504;High
Delve;2018-09-27;Glassblower's Bauble;Chaos Orb;0.15037;High
Delve;2018-09-28;Glassblower's Bauble;Chaos Orb;0.16492;High
Delve;2018-09-29;Glassblower's Bauble;Chaos Orb;0.16598;High
Delve;2018-09-30;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-10-01;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-10-02;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-10-03;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-10-04;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-10-05;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-10-06;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-10-07;Glassblower's Bauble;Chaos Orb;0.16667;High
Delve;2018-10-08;Glassblower's Bauble;Chaos Orb;0.16332;High
Delve;2018-10-09;Glassblower's Bauble;Chaos Orb;0.16591;High
Delve;2018-10-10;Glassblower's Bauble;Chaos Orb;0.16363;High
Delve;2018-10-11;Glassblower's Bauble;Chaos Orb;0.16129;High
Delve;2018-10-12;Glassblower's Bauble;Chaos Orb;0.16129;High
Delve;2018-10-13;Glassblower's Bauble;Chaos Orb;0.14954;High
Delve;2018-10-14;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-15;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-16;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-17;Glassblower's Bauble;Chaos Orb;0.1428;High
Delve;2018-10-18;Glassblower's Bauble;Chaos Orb;0.13333;High
Delve;2018-10-19;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-20;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-21;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-22;Glassblower's Bauble;Chaos Orb;0.14214;High
Delve;2018-10-23;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-24;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-25;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-26;Glassblower's Bauble;Chaos Orb;0.14245;High
Delve;2018-10-27;Glassblower's Bauble;Chaos Orb;0.14286;High
Delve;2018-10-28;Glassblower's Bauble;Chaos Orb;0.12548;High
Delve;2018-10-29;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-10-30;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-10-31;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-11-01;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-11-02;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-11-03;Glassblower's Bauble;Chaos Orb;0.12701;High
Delve;2018-11-04;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-11-05;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-11-06;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-11-07;Glassblower's Bauble;Chaos Orb;0.13606;High
Delve;2018-11-08;Glassblower's Bauble;Chaos Orb;0.13962;High
Delve;2018-11-09;Glassblower's Bauble;Chaos Orb;0.13913;High
Delve;2018-11-10;Glassblower's Bauble;Chaos Orb;0.1376;High
Delve;2018-11-11;Glassblower's Bauble;Chaos Orb;0.14006;High
Delve;2018-11-12;Glassblower's Bauble;Chaos Orb;0.14232;High
Delve;2018-11-13;Glassblower's Bauble;Chaos Orb;0.14169;High
Delve;2018-11-14;Glassblower's Bauble;Chaos Orb;0.14225;High
Delve;2018-11-15;Glassblower's Bauble;Chaos Orb;0.14171;High
Delve;2018-11-16;Glassblower's Bauble;Chaos Orb;0.13839;High
Delve;2018-11-17;Glassblower's Bauble;Chaos Orb;0.1267;High
Delve;2018-11-18;Glassblower's Bauble;Chaos Orb;0.13889;High
Delve;2018-11-19;Glassblower's Bauble;Chaos Orb;0.13889;High
Delve;2018-11-20;Glassblower's Bauble;Chaos Orb;0.10357;High
Delve;2018-11-21;Glassblower's Bauble;Chaos Orb;0.10357;High
Delve;2018-11-22;Glassblower's Bauble;Chaos Orb;0.12336;High
Delve;2018-11-23;Glassblower's Bauble;Chaos Orb;0.1;High
Delve;2018-11-24;Glassblower's Bauble;Chaos Orb;0.1;High
Delve;2018-11-25;Glassblower's Bauble;Chaos Orb;0.12742;High
Delve;2018-11-26;Glassblower's Bauble;Chaos Orb;0.125;High
Delve;2018-11-27;Glassblower's Bauble;Chaos Orb;0.12423;High
Delve;2018-11-28;Glassblower's Bauble;Chaos Orb;0.1146;High
Delve;2018-11-29;Glassblower's Bauble;Chaos Orb;0.10777;High
Delve;2018-11-30;Glassblower's Bauble;Chaos Orb;0.10649;High
Delve;2018-12-01;Glassblower's Bauble;Chaos Orb;0.11635;High
Delve;2018-12-02;Glassblower's Bauble;Chaos Orb;0.1206;High
Delve;2018-12-03;Glassblower's Bauble;Chaos Orb;0.12473;High
Delve;2018-08-31;Orb of Regret;Chaos Orb;0.79302;High
Delve;2018-09-01;Orb of Regret;Chaos Orb;0.5;High
Delve;2018-09-02;Orb of Regret;Chaos Orb;0.56453;High
Delve;2018-09-03;Orb of Regret;Chaos Orb;0.66667;High
Delve;2018-09-04;Orb of Regret;Chaos Orb;0.625;High
Delve;2018-09-05;Orb of Regret;Chaos Orb;0.625;High
Delve;2018-09-06;Orb of Regret;Chaos Orb;0.625;High
Delve;2018-09-07;Orb of Regret;Chaos Orb;0.58824;High
Delve;2018-09-08;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-09;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-10;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-11;Orb of Regret;Chaos Orb;0.51225;High
Delve;2018-09-12;Orb of Regret;Chaos Orb;0.5;High
Delve;2018-09-13;Orb of Regret;Chaos Orb;0.5;High
Delve;2018-09-14;Orb of Regret;Chaos Orb;0.5;High
Delve;2018-09-15;Orb of Regret;Chaos Orb;0.5;High
Delve;2018-09-16;Orb of Regret;Chaos Orb;0.5;High
Delve;2018-09-17;Orb of Regret;Chaos Orb;0.5;High
Delve;2018-09-18;Orb of Regret;Chaos Orb;0.5218;High
Delve;2018-09-19;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-20;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-21;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-22;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-23;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-24;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-25;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-26;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-27;Orb of Regret;Chaos Orb;0.52632;High
Delve;2018-09-28;Orb of Regret;Chaos Orb;0.55556;High
Delve;2018-09-29;Orb of Regret;Chaos Orb;0.55556;High
Delve;2018-09-30;Orb of Regret;Chaos Orb;0.55556;High
Delve;2018-10-01;Orb of Regret;Chaos Orb;0.55;High
Delve;2018-10-02;Orb of Regret;Chaos Orb;0.55206;High
Delve;2018-10-03;Orb of Regret;Chaos Orb;0.55556;High
Delve;2018-10-04;Orb of Regret;Chaos Orb;0.55556;High
Delve;2018-10-05;Orb of Regret;Chaos Orb;0.56049;High
Delve;2018-10-06;Orb of Regret;Chaos Orb;0.57177;High
Delve;2018-10-07;Orb of Regret;Chaos Orb;0.5828;High
Delve;2018-10-08;Orb of Regret;Chaos Orb;0.58578;High
Delve;2018-10-09;Orb of Regret;Chaos Orb;0.58824;High
Delve;2018-10-10;Orb of Regret;Chaos Orb;0.625;High
Delve;2018-10-11;Orb of Regret;Chaos Orb;0.60249;High
Delve;2018-10-12;Orb of Regret;Chaos Orb;0.62393;High
Delve;2018-10-13;Orb of Regret;Chaos Orb;0.60638;High
Delve;2018-10-14;Orb of Regret;Chaos Orb;0.6;High
Delve;2018-10-15;Orb of Regret;Chaos Orb;0.62418;High
Delve;2018-10-16;Orb of Regret;Chaos Orb;0.62245;High
Delve;2018-10-17;Orb of Regret;Chaos Orb;0.66667;High
Delve;2018-10-18;Orb of Regret;Chaos Orb;0.66667;High
Delve;2018-10-19;Orb of Regret;Chaos Orb;0.66667;High
Delve;2018-10-20;Orb of Regret;Chaos Orb;0.65;High
Delve;2018-10-21;Orb of Regret;Chaos Orb;0.65;High
Delve;2018-10-22;Orb of Regret;Chaos Orb;0.66241;High
Delve;2018-10-23;Orb of Regret;Chaos Orb;0.66667;High
Delve;2018-10-24;Orb of Regret;Chaos Orb;0.71429;High
Delve;2018-10-25;Orb of Regret;Chaos Orb;0.675;High
Delve;2018-10-26;Orb of Regret;Chaos Orb;0.675;High
Delve;2018-10-27;Orb of Regret;Chaos Orb;0.75;High
Delve;2018-10-28;Orb of Regret;Chaos Orb;0.75696;High
Delve;2018-10-29;Orb of Regret;Chaos Orb;0.74524;High
Delve;2018-10-30;Orb of Regret;Chaos Orb;0.75;High
Delve;2018-10-31;Orb of Regret;Chaos Orb;0.75;High
Delve;2018-11-01;Orb of Regret;Chaos Orb;0.75;High
Delve;2018-11-02;Orb of Regret;Chaos Orb;0.75;High
Delve;2018-11-03;Orb of Regret;Chaos Orb;0.76533;High
Delve;2018-11-04;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-05;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-06;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-07;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-08;Orb of Regret;Chaos Orb;0.77503;High
Delve;2018-11-09;Orb of Regret;Chaos Orb;0.80826;High
Delve;2018-11-10;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-11;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-12;Orb of Regret;Chaos Orb;0.77778;High
Delve;2018-11-13;Orb of Regret;Chaos Orb;0.77778;High
Delve;2018-11-14;Orb of Regret;Chaos Orb;0.77778;High
Delve;2018-11-15;Orb of Regret;Chaos Orb;0.77778;High
Delve;2018-11-16;Orb of Regret;Chaos Orb;0.78244;High
Delve;2018-11-17;Orb of Regret;Chaos Orb;0.78036;High
Delve;2018-11-18;Orb of Regret;Chaos Orb;0.77397;High
Delve;2018-11-19;Orb of Regret;Chaos Orb;0.8;High
Delve;2018-11-20;Orb of Regret;Chaos Orb;0.77778;High
Delve;2018-11-21;Orb of Regret;Chaos Orb;0.77778;High
Delve;2018-11-22;Orb of Regret;Chaos Orb;0.77351;High
Delve;2018-11-23;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-24;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-25;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-26;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-27;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-28;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-29;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-11-30;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-12-01;Orb of Regret;Chaos Orb;0.75496;High
Delve;2018-12-02;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-12-03;Orb of Regret;Chaos Orb;0.76923;High
Delve;2018-08-31;Regal Orb;Chaos Orb;1;High
Delve;2018-09-01;Regal Orb;Chaos Orb;1;High
Delve;2018-09-02;Regal Orb;Chaos Orb;1;High
Delve;2018-09-03;Regal Orb;Chaos Orb;1.4;High
Delve;2018-09-04;Regal Orb;Chaos Orb;1.5;High
Delve;2018-09-05;Regal Orb;Chaos Orb;1.3;High
Delve;2018-09-06;Regal Orb;Chaos Orb;1.33333;High
Delve;2018-09-07;Regal Orb;Chaos Orb;1.27273;High
Delve;2018-09-08;Regal Orb;Chaos Orb;1.17549;High
Delve;2018-09-09;Regal Orb;Chaos Orb;1.08996;High
Delve;2018-09-10;Regal Orb;Chaos Orb;1.0566;High
Delve;2018-09-11;Regal Orb;Chaos Orb;1.05;High
Delve;2018-09-12;Regal Orb;Chaos Orb;1.00388;High
